tid,firstname,lastname,email,emailstatus,token,language,validfrom,validuntil,invited,reminded,remindercount,completed,usesleft
"1","Alto da Brasília","","csf.altodabrasilia.sobral@gmail.com","OK","acessobrasilia","pt-BR","2018-09-17 14:39","","N","N","0","N","1"
"2","Alto do Cristo","","csf.altodocristo.sobral@gmail.com","OK","acessocristo","pt-BR","2018-09-17 14:41","","N","N","0","N","1"
"3","Caic","","csf.caic.sobral@gmail.com","OK","acessocaic","pt-BR","2018-09-17 14:42","","N","N","0","N","1"
"4","Campo dos Velhos","","csf.campodosvelhos.sobral@gmail.com","OK","acessocvelhos","pt-BR","2018-09-17 14:44","","N","N","0","N","1"
"5","Centro","","csf.centro.sobral@gmail.com","OK","acessocentro","pt-BR","2018-09-17 14:44","","N","N","0","N","1"
"6","COELCE","","csf.coelce.sobral@gmail.com","OK","acessocoelce","pt-BR","2018-09-17 14:45","","N","N","0","N","1"
"7","Cohab II","","csf.cohab2.sobral@gmail.com","OK","acessocoab2","pt-BR","2018-09-17 14:45","","N","N","0","N","1"
"8","Cohab III","","csf.cohab3.sobral@gmail.com","OK","acessocoab3","pt-BR","2018-09-17 14:46","","N","N","0","N","1"
"9","Parque  Santo Antônio","","csfsantoantoniosobral@gmail.com","OK","acessopsantonio","pt-BR","2018-09-17 14:47","","N","N","0","N","1"
"10","Vila União","","","OK","acessovilauniao","pt-BR","2018-09-17 14:55","","N","N","0","N","1"
"11","Dom Expedito","","csf.dexpedito.sobral@gmail.com","OK","acessodexpedito","pt-BR","2018-09-17 14:48","","N","N","0","N","1"
"12","Estação","","csf.estacao.sobral@gmail.com","OK","acessoestacao","pt-BR","2018-09-17 14:48","","N","N","0","N","1"
"13","Expectativa","","csf.expectativa.sobral@gmail.com","OK","acessoexpectati","pt-BR","2018-09-17 14:50","","N","N","0","N","1"
"14","Junco","","csf.junco.sobral@gmail.com","OK","acessojunco","pt-BR","2018-09-17 14:51","","N","N","0","N","1"
"15","Novo Recanto","","csf.recanto2.sobral@gmail.com","OK","acessonrecanto","pt-BR","2018-09-17 14:51","","N","N","0","N","1"
"16","Pe. Palhano","","csf.padrepalhano.sobral@gmail.com","OK","acessoppalhano","pt-BR","2018-09-17 14:52","","N","N","0","N","1"
"17","Pedrinhas","","csf.pedrinhas.sobral@gmail.com","OK","acessopedrinhas","pt-BR","2018-09-17 14:52","","N","N","0","N","1"
"18","Sinhá Saboia","","csf.sinhasaboia.sobral@gmail.com","OK","acessossaboia","pt-BR","2018-09-17 14:52","","N","N","0","N","1"
"19","Sumaré","","csf.sumare.sobral@gmail.com","OK","acessosumare","pt-BR","2018-09-17 14:53","","N","N","0","N","1"
"20","Tamarindo","","csf.tamarindo.sobral@gmail.com","OK","acessotamarindo","pt-BR","2018-09-17 14:54","","N","N","0","N","1"
"21","Terrenos Novos I","","csf.terrenosnovos.sobral@gmail.com","OK","acessotnovos1","pt-BR","2018-09-17 14:54","","N","N","0","N","1"
"22","Terrenos Novos II","","csf.terrenosnovos2.sobral@gmail.com","OK","acessotnovos2","pt-BR","2018-09-17 14:55","","N","N","0","N","1"
